Word,Bigram,Conc.M,Conc.SD,Unknown,Total,SUBTLEX
a,0,1.46,1.14,2,30,1041179
aardvark,0,4.68,0.86,0,28,21
aback,0,1.65,1.07,4,27,15
abacus,0,4.52,1.12,2,29,12
abandon,0,2.54,1.45,1,27,413
abandoned,0,2.52,1.27,0,29,678
abandonee,0,2.92,1.28,4,28,0
abandoner,0,2.5,1.5,2,30,1
abandonment,0,2.54,1.29,0,28,49
abasement,0,1.67,1.01,2,26,0
abatement,0,1.92,1.29,4,30,3
abbreviate,0,2.59,1.53,0,27,1
abbreviated,0,3.1,1.54,0,30,16
abbreviation,0,3.07,1.51,0,29,12
abdicate,0,2.08,1.29,2,28,9
abdomen,0,4.7,0.67,0,27,171
abdominal,0,4.28,1.16,0,29,174
abdominally,0,3.15,1.46,3,30,0
abduct,0,2.88,1.51,2,28,36
abductee,0,3.27,1.44,0,30,20
abduction,0,3.07,1.47,0,27,185
abductor,0,3.89,1.37,0,28,18
abhor,0,1.81,1.17,3,29,12
abhorrence,0,2.15,1.26,1,28,0
abhorrently,0,2.04,1.32,2,29,0
abhorring,0,1.68,0.8,4,29,0
abide,0,1.68,0.86,0,28,138
abiding,0,2.07,1.13,0,29,25
abidingly,0,1.82,0.94,2,30,0
ability,0,1.81,0.88,0,27,980
abject,0,1.67,0.96,4,28,20
ablaze,0,3.82,1.16,0,28,21
able,0,2.38,1.42,1,27,8155
ably,0,1.78,1.19,2,29,9
abnormal,0,2.14,1.38,0,29,148
abnormality,0,2.48,1.33,0,25,26
abnormally,0,1.75,0.84,0,28,20
aboard,0,3.97,1.3,0,30,1358
abode,0,3.92,1.38,2,26,33
abolish,0,2.19,1.17,0,26,24
abolishable,0,1.96,1.16,3,27,0
abolisher,0,2.29,1.15,1,29,0
abolishment,0,2.31,1.42,0,29,0
abolition,0,2.43,1.5,1,29,10
abolitionism,0,1.86,0.93,1,29,1
abolitionist,0,3.28,1.51,2,27,11
abominable,0,1.89,0.99,2,30,32
abominableness,0,1.58,0.83,3,27,0
abominably,0,2.14,1.13,1,30,8
abominate,0,1.68,0.99,3,28,3
abomination,0,2.23,1.24,0,26,58
aboriginal,0,3.12,1.34,2,28,9
abort,0,2.83,1.23,0,30,235
aborted,0,2.83,1.36,0,29,32
abortion,0,3.41,1.39,0,27,369
abortionist,0,3.19,1.47,1,27,4
abortive,0,1.88,0.99,3,29,1
abortively,0,1.95,1.05,4,26,1
abound,0,2.27,1.19,2,28,18
abounding,0,2.04,1.19,2,29,4
about,0,1.77,0.95,0,26,185206
above,0,3.33,1.34,0,24,2493
aboveboard,0,2.8,1.47,4,29,14
aboveground,0,4.03,1.24,0,29,7
